category;tweet_id;text;date;retweet_count
groundwater contamination;1.14E+18;Multi-tracing of #recharge #seasonality and #contamination in #groundwater: A tool for #urban #water #resourcemanagement https://t.co/NJILz9bJMX https://t.co/pqgeJ7mZMq;6/17/2019 6:18;0
groundwater contamination;1.14E+18;East Kingston Meeting To Address Groundwater Contamination In https://t.co/e0Ip5hiw7a;6/16/2019 17:54;0
groundwater contamination;1.14E+18;"#ExpressExplained | A study released by the central government has found that villages that are not yet open defecation-free are 12 times more likely than ODF villages to carry the risk of faecal contamination of groundwater.

https://t.co/XMWvTIXXDr";6/16/2019 13:30;2
lake contamination;1.14E+18;Great story about Coeur d’Alene lake contamination concerns by my friend Emily! https://t.co/UvFU6HksoQ;6/26/2019 2:51;0
lake contamination;1.14E+18;"Lake Michigan - Warren Dunes Beach Berrien
Lake Michigan - Weko Beach Berrien

Both Beaches closed today due to the following advisory is in effect:Contamination Advisory... https://t.co/aGgHfhR0dR";6/25/2019 20:17;0
lake contamination;1.14E+18;Beaches at Mona Lake, Wolf Lake closed for E. coli contamination https://t.co/3aGCjxWggg;6/25/2019 19:02;0
lake contamination;1.14E+18;Contamination advisory issued for Lake Michigan at Pere Marquette Park https://t.co/hsYKID2DGv;6/25/2019 19:00;1
lake contamination;1.14E+18;Contamination advisory issued for Lake Michigan at Pere Marquette Park https://t.co/NSeY8VLFcB;6/25/2019 18:58;0
lake contamination;1.14E+18;Contamination advisory issued for Lake Michigan at Pere Marquette Park https://t.co/Uh4PZ5gpqg;6/25/2019 18:57;0
lake contamination;1.14E+18;"HEADS up beach goers!! ⛱🌊
🔺Contamination Advisory🔺

RE: *@MuskegonSkyWarn 
Pere Marquette Park
High bacteria levels

👉🏼https://t.co/vVK53SNOcu

#13oys #michigan #beach #lake https://t.co/ZXwlKw5QX5";6/25/2019 17:32;0
lake contamination;1.14E+18;Sampling at Bathurst Quay in Toronto Harbour by Lake Ontario Waterkeeper &amp  volunteers continues a 34 day streak of serious bacteria contamination. Must do better! #swimdrinkfish ⁦*@swimguide⁩ https://t.co/W6c12FrWyw;6/25/2019 12:08;4
lake contamination;1.14E+18;"Public meeting in #SouthLakeTahoe Wednesday to discuss the current status of #PCE contamination and cleanup of groundwater.  *@SouthTahoePUD #TahoeKeys #LahontanWater 
https://t.co/oBWchqaA8t https://t.co/O4bEhixGyO";6/24/2019 19:47;0
lake contamination;1.14E+18;"“The way I see it now, EPA is using the lake bottom as the largest repository (of mining contamination) in our basin, if not the country.” — Phil Cernera, director of the Coeur d'Alene Tribe’s Lake Management Department. By *@erbenson1 *@highcountrynews 
https://t.co/j8YNMHK1Pf";6/24/2019 17:24;9
lake contamination;1.14E+18;#LoganLakeBC - Contamination causes concern in Logan Lake https://t.co/ZpFtIoI4ul;6/24/2019 16:32;0
lake contamination;1.14E+18;"Do you want to dive deeper into arsenic contamination of lake beds? Read about the *@toxtranslation/*@UW_SRP collaboration on arsenic cycling in lakes of the Puget Sound region.
https://t.co/WRaD9LFY4o";6/24/2019 16:10;0
lake contamination;1.14E+18;Beaches at Mona Lake, Wolf Lake closed for E. coli contamination https://t.co/u9rCEHCnNn;6/24/2019 4:51;0
lake contamination;1.14E+18;"*@profmusgrave Incidence of the condition that kept me from having kids has increased dramatically over last 60 yrs &amp  it's been  linked to PCBs. I grew up near Lake Erie, which has one of highest rates of PCB contamination in US.

It can't be ""proven"" yet, I know, but is likely a factor, imo.";6/24/2019 1:13;0
lake contamination;1.14E+18;We’re now sailing to the next contamination point - bay lake tower https://t.co/bYtBcgKgff;6/23/2019 15:27;0
lake contamination;1.14E+18;We have been expressing our concern regarding the pollution at Man Sagar Lake in Jaipur. People visiting the Jal Mahal Palace are littering leading to contamination of the water body with plastics and other... https://t.co/Srlc7jQQcz;6/23/2019 14:46;0
lake contamination;1.14E+18;*@PeterMacKay While you have fun with this,Milk and Juice have been using cartons lined with Aluminum or Plastic for decades.  The real problem is they are only marginally better than plastic bottles.   Why do people use bottled water, because ground water contamination or river/lake pollution;6/23/2019 13:29;0
lake contamination;1.14E+18;Because the lake water is 30 years of poison contamination;6/23/2019 5:31;0
lake contamination;1.14E+18;*@David_desJ I guess I read it differently from you. The point to me is that it still persists in the system all of these years later. A while ago I did statistical analysis on DDT contamination in trout in Yellowstone lake. It was startling to me then, &amp  even more so now almost 30 yrs later.;6/22/2019 18:05;0
lake contamination;1.14E+18;"Contamination causes concern in #LoganLake
https://t.co/UAdGudrZHS https://t.co/GJqYsEHrQO";6/21/2019 22:31;0
lake contamination;1.14E+18;The *@EPA awarded the *@WDNR beach water quality monitoring grants along Lake Superior &amp  Lake Michigan coastline. These grants increase public information about #waterquality at our beaches &amp  help partners conduct testing and address contamination sources. https://t.co/iJJcvhZXOH;6/21/2019 14:02;4
lake contamination;1.14E+18;"As #Chennai reels under #water crisis, faulty restoration of Paruthipattu #lake left citizens distressed. The citizens expressed their concern about contamination of the lake, #pollution of #groundwater, and poor implementation of the plan.
https://t.co/PLNPmYr9fM https://t.co/aVERpV7zN2";6/21/2019 13:29;0
lake contamination;1.14E+18;Hoping to receive #3MSettlement funds, a resident of Lake Elmo gives an overview of his proposed project, as his property is at the edge of the well advisory area for #PFAS contamination https://t.co/mnG4HmrvNg;6/19/2019 15:02;0
lake contamination;1.14E+18;Extreme drought in LA? Not today. Still, we should be filling our reserves + building infrastructure to prepare for the next one. If sea levels rise, we'll need our underground aquifer full to prevent contamination + backups like Owens Lake + The Salton Sea. #naturalmath #ssac;6/18/2019 14:40;0
lake contamination;1.14E+18;"Sometimes pollution is dramatic, like aerial footage of a 2011 coal ash pond collapse that sent toxic contents onto the beach and into Lake Michigan in Oak Creek, just south of Milwaukee. (Via *@wiscontext)
https://t.co/oDetn7S3yB";6/18/2019 3:32;1
lake contamination;1.14E+18;Work to assess groundwater contamination from Cameco's Key Lake Mill will start later this month - #Sask  https://t.co/yzm7tEavx9;6/17/2019 16:29;0
lake contamination;1.14E+18;Jens Kallmeyer talks about #geomicrobiology and what work on the #LakeTanganyikaDrilling Project could mean. He also talked quite a bit about contamination, how to avoid it, and how oxygen is bad when it comes to #anaerobic #bacteria records in lake sediments. https://t.co/wA3rx7dFUI;6/17/2019 11:44;1
lake contamination;1.14E+18;*@nitin_gadkari sir today I watch news i.e nagpur lake has huge contamination due to direct sewage in them. U always talking about clean river but wht about this, i hope u will take quick action;6/17/2019 10:57;0
water pollution;1.14E+18;Why India is not doing uniform development ?why our development is not pollution free?Developed country made environment with clean air and water..but we made water stress and polluted air;6/26/2019 3:44;0
water pollution;1.14E+18;Please see https://t.co/7tUxC6UNs1 for generating Clean #Energy, reduce #Pollution and increase access to Clean #Water for all residents! https://t.co/az44cbEt8X;6/26/2019 3:44;0
water pollution;1.14E+18;*@SenatorRomney The cure is clean water, clean soil, pesticide free food, hormones free animals, clean environments. Cancer isn’t the enemy. People and their pollution is the real issue. Corporate abuses and greed. The real cure is a healthy planet.;6/26/2019 3:42;0
